phase,flux
0.9569302640011769,0.9880979539411258
0.9610877523633731,0.9853715068586169
0.9633168415195327,0.9602846792093808
0.9670521484348497,0.968277856261249
0.9731386979180355,0.9558725718846887
0.9778028521558509,0.9069847815057911
0.9778417847949085,0.8879734893257656
0.979631302190843,0.8487895030072433
0.981600679955268,0.8379150674384095
0.982901944748552,0.8271799518641318
0.9985657429361693,0.609817663998784
1.0005404160208298,0.616595001861481
1.0038868177634623,0.6600852070021593
1.0041720429713519,0.6468446641717205
1.0067025441667465,0.6810829367676375
1.0154722565231578,0.8534930716135481
1.0183231245976754,0.8605973411928219
1.0250073231872716,0.9541134102819782
1.0259936367699916,0.9745407417663045
1.031140627941991,0.9817479430199816
1.0339418523885553,0.9664958643142114
1.0376178276465464,0.9718517029401669
1.0388643941879718,0.96738644996895
1.0455018375062832,0.9647171518961664
1.054305427877797,0.9799411610955924
1.0576695208042577,0.9549925860214353
1.0596600798498526,0.994489037154792
1.0599980175644288,0.9453660459579653
1.0614042259785106,0.96738644996895
1.0632335786249922,0.9638290236239682
1.0669995743284528,0.9799411610955924
1.0671731164170137,0.9781377043229852
1.0680513573260026,0.9453660459579653
1.071533933044425,0.9602846792093808
1.0775999631614082,0.968277856261249
1.082035335491899,0.983558056226957
1.0863422361307653,0.9799411610955924
1.0884683072371684,0.9727472237769641
1.0910544694700275,0.9772372209558088
1.0922226893402933,0.9620552191862133
1.098662942151027,0.98265258282953
1.1004828474645945,1.0129779687601013
1.102691357080492,0.9862794856312099
1.1081463192679633,0.98265258282953
1.1140717225261665,0.9594006315159316
1.1167799779967607,0.9799411610955924
1.1217567968294486,0.9709570065288244
1.1243215370847008,0.983558056226957
1.1254053928746157,0.9790390174480484
1.131678361702566,0.9656060985415496
1.1345908480498008,0.9745407417663045
1.1367702935780142,0.9332543007969886
1.1372910401916454,1.0046157902783943
1.1413583877602673,0.9890084450210651
1.1414599616317571,0.9871883010683936
1.1514415802511633,0.9908319448927662
1.158276875992105,0.9917449552314128
1.158543266708382,0.9700631337839558
1.1592963455009095,1.0046157902783943
1.1723710329250037,0.9781377043229852
1.1735464135126858,0.9817479430199816
1.1794895681287199,0.9620552191862133
1.182465357623347,0.9772372209558088
1.1847443311039183,0.9718517029401669
1.1849003625308865,0.9781377043229852
1.195910777643658,0.9736435697988864
1.19621910970378,0.9853715068586169
1.1985208891661512,0.9656060985415496
1.201060777520301,0.9754387404402989
1.2013124857575161,0.968277856261249
1.2072248312372165,0.9917449552314128
1.2107776301239608,0.9935735005868431
1.2110367999488472,0.9576349769692682
1.216256300904679,0.9736435697988864
1.217098798401555,0.9954054173515247
1.2235103481690897,0.968277856261249
1.2309179597227353,0.9709570065288244
1.2322778340840626,0.9844643639803757
1.2356301328879096,0.9576349769692682
1.2436369580744082,0.968277856261249
1.2449994800958604,0.9862794856312099
